Short Name,Title,Ages,Genders,PA Type,PA Measurement,Factor,Factor Measurement,Tested,Positive,Negative,Notes
Tappe 2013,Children’s physical activity and parents’ perception of the neighborhood environment: neighborhood impact on kids study,6-11,All,neighborhood PA,parent-report,Traffic Safety,parent-report,2,1,0,
Tappe 2013,Children’s physical activity and parents’ perception of the neighborhood environment: neighborhood impact on kids study,6-11,All,neighborhood PA,parent-report,Street Connectivity,parent-report,3,0,3,
Tappe 2013,Children’s physical activity and parents’ perception of the neighborhood environment: neighborhood impact on kids study,6-11,All,neighborhood PA,parent-report,Aesthetics,parent-report,3,3,0,
Tappe 2013,Children’s physical activity and parents’ perception of the neighborhood environment: neighborhood impact on kids study,6-11,All,neighborhood PA,parent-report,Walking Amenities,parent-report,2,0,0,
Tappe 2013,Children’s physical activity and parents’ perception of the neighborhood environment: neighborhood impact on kids study,6-11,All,neighborhood PA,parent-report,POI Availability,parent-report,2,0,0,
Tappe 2013,Children’s physical activity and parents’ perception of the neighborhood environment: neighborhood impact on kids study,6-11,All,neighborhood PA,parent-report,Recreation availability,parent-report,2,0,0,
Tappe 2013,Children’s physical activity and parents’ perception of the neighborhood environment: neighborhood impact on kids study,6-11,All,neighborhood PA,parent-report,Accessibility,parent-report,4,2,0,
Tappe 2013,Children’s physical activity and parents’ perception of the neighborhood environment: neighborhood impact on kids study,6-11,All,total PA,parent-report,PA environment,GIS,3,0,0,
Tappe 2013,Children’s physical activity and parents’ perception of the neighborhood environment: neighborhood impact on kids study,6-11,All,total PA,parent-report,Crime safety,parent-report,2,0,0,
Tappe 2013,Children’s physical activity and parents’ perception of the neighborhood environment: neighborhood impact on kids study,6-11,All,total PA,parent-report,Street Connectivity,parent-report,2,0,0,
Tappe 2013,Children’s physical activity and parents’ perception of the neighborhood environment: neighborhood impact on kids study,6-11,All,total PA,parent-report,Aesthetics,parent-report,2,1,0,
Tappe 2013,Children’s physical activity and parents’ perception of the neighborhood environment: neighborhood impact on kids study,6-11,All,total PA,parent-report,Traffic Safety,parent-report,3,2,0,
Tappe 2013,Children’s physical activity and parents’ perception of the neighborhood environment: neighborhood impact on kids study,6-11,All,total PA,parent-report,Walking Amenities,parent-report,2,0,0,
Tappe 2013,Children’s physical activity and parents’ perception of the neighborhood environment: neighborhood impact on kids study,6-11,All,total PA,parent-report,POI Availability,parent-report,2,0,0,
Tappe 2013,Children’s physical activity and parents’ perception of the neighborhood environment: neighborhood impact on kids study,6-11,All,total PA,parent-report,Recreation availability,parent-report,3,3,0,
Tappe 2013,Children’s physical activity and parents’ perception of the neighborhood environment: neighborhood impact on kids study,6-11,All,total PA,parent-report,Accessibility,parent-report,4,0,0,
Tappe 2013,Children’s physical activity and parents’ perception of the neighborhood environment: neighborhood impact on kids study,6-11,All,MVPA,accelerometer,PA environment,GIS,2,0,0,
Tappe 2013,Children’s physical activity and parents’ perception of the neighborhood environment: neighborhood impact on kids study,6-11,All,MVPA,accelerometer,Crime safety,parent-report,2,0,0,
Tappe 2013,Children’s physical activity and parents’ perception of the neighborhood environment: neighborhood impact on kids study,6-11,All,MVPA,accelerometer,Street Connectivity,parent-report,2,0,0,
Tappe 2013,Children’s physical activity and parents’ perception of the neighborhood environment: neighborhood impact on kids study,6-11,All,MVPA,accelerometer,Aesthetics,parent-report,2,0,0,
Tappe 2013,Children’s physical activity and parents’ perception of the neighborhood environment: neighborhood impact on kids study,6-11,All,MVPA,accelerometer,Traffic Safety,parent-report,2,0,0,
Tappe 2013,Children’s physical activity and parents’ perception of the neighborhood environment: neighborhood impact on kids study,6-11,All,MVPA,accelerometer,Walking Amenities,parent-report,2,0,0,
Tappe 2013,Children’s physical activity and parents’ perception of the neighborhood environment: neighborhood impact on kids study,6-11,All,MVPA,accelerometer,POI Availability,parent-report,2,0,0,
Tappe 2013,Children’s physical activity and parents’ perception of the neighborhood environment: neighborhood impact on kids study,6-11,All,MVPA,accelerometer,Recreation availability,parent-report,4,2,2,
Tappe 2013,Children’s physical activity and parents’ perception of the neighborhood environment: neighborhood impact on kids study,6-11,All,MVPA,accelerometer,Accessibility,parent-report,4,0,0,
Terron-Perez 2024,Using the MAPS-global audit tool to assess the influence of microscale built-environment attributes related to physical activity and sedentary behavior in spanish youth,14-18,All,MVPA,accelerometer,POI Availability,audit,3,0,0,
Terron-Perez 2024,Using the MAPS-global audit tool to assess the influence of microscale built-environment attributes related to physical activity and sedentary behavior in spanish youth,14-18,All,MVPA,accelerometer,Walking Amenities,audit,6,1,0,
Terron-Perez 2024,Using the MAPS-global audit tool to assess the influence of microscale built-environment attributes related to physical activity and sedentary behavior in spanish youth,14-18,All,MVPA,accelerometer,Aesthetics,audit,3,0,0,
Terron-Perez 2024,Using the MAPS-global audit tool to assess the influence of microscale built-environment attributes related to physical activity and sedentary behavior in spanish youth,14-18,All,MVPA,accelerometer,Traffic Safety,audit,3,0,0,
Terron-Perez 2024,Using the MAPS-global audit tool to assess the influence of microscale built-environment attributes related to physical activity and sedentary behavior in spanish youth,14-18,All,MVPA,accelerometer,Walkability Index,audit,3,0,0,
Tung 2016,"Associations between parents' perception of neighbourhood environments and safety with physical activity of primary school children in Klang, Selangor, Malaysia",9-12,All,other PA,self-report,Residential density,parent-report,1,0,0,
Tung 2016,"Associations between parents' perception of neighbourhood environments and safety with physical activity of primary school children in Klang, Selangor, Malaysia",9-12,All,other PA,self-report,POI Availability,parent-report,1,0,0,
Tung 2016,"Associations between parents' perception of neighbourhood environments and safety with physical activity of primary school children in Klang, Selangor, Malaysia",9-12,All,other PA,self-report,Accessibility,parent-report,2,2,0,
Tung 2016,"Associations between parents' perception of neighbourhood environments and safety with physical activity of primary school children in Klang, Selangor, Malaysia",9-12,All,other PA,self-report,Street Connectivity,parent-report,1,0,0,
Tung 2016,"Associations between parents' perception of neighbourhood environments and safety with physical activity of primary school children in Klang, Selangor, Malaysia",9-12,All,other PA,self-report,Walking Amenities,parent-report,1,0,0,
Tung 2016,"Associations between parents' perception of neighbourhood environments and safety with physical activity of primary school children in Klang, Selangor, Malaysia",9-12,All,other PA,self-report,Aesthetics,parent-report,1,0,0,
Tung 2016,"Associations between parents' perception of neighbourhood environments and safety with physical activity of primary school children in Klang, Selangor, Malaysia",9-12,All,other PA,self-report,Traffic Safety,parent-report,1,1,0,
Tung 2016,"Associations between parents' perception of neighbourhood environments and safety with physical activity of primary school children in Klang, Selangor, Malaysia",9-12,All,other PA,self-report,Crime safety,parent-report,1,0,0,
Tung 2016,"Associations between parents' perception of neighbourhood environments and safety with physical activity of primary school children in Klang, Selangor, Malaysia",9-12,All,other PA,self-report,Cul-de-sac,parent-report,1,0,0,
Voorhees 2011,"Neighborhood environment, self-efficacy, and physical activity in urban adolescents",14-18,All,MVPA,accelerometer,Traffic Safety,self-report,1,1,0,"Revisit this one after looking into SEM, age not reported, only grade level"
Wayas 2023,Association of Perceived Neighbourhood Walkability with Self-Reported Physical Activity and Body Mass Index in South African Adolescents,13-18,All,MVPA,self-report,Residential density,self-report,2,0,0,Includes PA in schools
Wayas 2023,Association of Perceived Neighbourhood Walkability with Self-Reported Physical Activity and Body Mass Index in South African Adolescents,13-18,All,MVPA,self-report,Accessibility,self-report,2,0,0,
Wayas 2023,Association of Perceived Neighbourhood Walkability with Self-Reported Physical Activity and Body Mass Index in South African Adolescents,13-18,All,MVPA,self-report,POI Availability,self-report,2,0,0,
Wayas 2023,Association of Perceived Neighbourhood Walkability with Self-Reported Physical Activity and Body Mass Index in South African Adolescents,13-18,All,MVPA,self-report,Walking Amenities,self-report,2,0,0,
Wayas 2023,Association of Perceived Neighbourhood Walkability with Self-Reported Physical Activity and Body Mass Index in South African Adolescents,13-18,All,MVPA,self-report,Aesthetics,self-report,2,0,0,
Wayas 2023,Association of Perceived Neighbourhood Walkability with Self-Reported Physical Activity and Body Mass Index in South African Adolescents,13-18,All,MVPA,self-report,Crime safety,self-report,2,0,0,
Wayas 2023,Association of Perceived Neighbourhood Walkability with Self-Reported Physical Activity and Body Mass Index in South African Adolescents,13-18,All,MVPA,self-report,Traffic Safety,self-report,2,0,0,
Wayas 2023,Association of Perceived Neighbourhood Walkability with Self-Reported Physical Activity and Body Mass Index in South African Adolescents,13-18,All,MVPA,self-report,Walkability Index,self-report,2,0,0,
Wayas 2023,Association of Perceived Neighbourhood Walkability with Self-Reported Physical Activity and Body Mass Index in South African Adolescents,13-18,All,informal PA,self-report,Residential density,self-report,2,0,0,
Wayas 2023,Association of Perceived Neighbourhood Walkability with Self-Reported Physical Activity and Body Mass Index in South African Adolescents,13-18,All,informal PA,self-report,Accessibility,self-report,2,0,0,
Wayas 2023,Association of Perceived Neighbourhood Walkability with Self-Reported Physical Activity and Body Mass Index in South African Adolescents,13-18,All,informal PA,self-report,POI Availability,self-report,2,0,0,
Wayas 2023,Association of Perceived Neighbourhood Walkability with Self-Reported Physical Activity and Body Mass Index in South African Adolescents,13-18,All,informal PA,self-report,Walking Amenities,self-report,2,0,0,
Wayas 2023,Association of Perceived Neighbourhood Walkability with Self-Reported Physical Activity and Body Mass Index in South African Adolescents,13-18,All,informal PA,self-report,Aesthetics,self-report,2,0,0,
Wayas 2023,Association of Perceived Neighbourhood Walkability with Self-Reported Physical Activity and Body Mass Index in South African Adolescents,13-18,All,informal PA,self-report,Crime safety,self-report,2,0,0,
Wayas 2023,Association of Perceived Neighbourhood Walkability with Self-Reported Physical Activity and Body Mass Index in South African Adolescents,13-18,All,informal PA,self-report,Traffic Safety,self-report,2,0,0,
Wayas 2023,Association of Perceived Neighbourhood Walkability with Self-Reported Physical Activity and Body Mass Index in South African Adolescents,13-18,All,informal PA,self-report,Walkability Index,self-report,2,0,0,
Wayas 2023,Association of Perceived Neighbourhood Walkability with Self-Reported Physical Activity and Body Mass Index in South African Adolescents,13-18,All,organized PA,self-report,Residential density,self-report,2,0,0,
Wayas 2023,Association of Perceived Neighbourhood Walkability with Self-Reported Physical Activity and Body Mass Index in South African Adolescents,13-18,All,organized PA,self-report,Accessibility,self-report,2,0,0,
Wayas 2023,Association of Perceived Neighbourhood Walkability with Self-Reported Physical Activity and Body Mass Index in South African Adolescents,13-18,All,organized PA,self-report,POI Availability,self-report,2,2,0,
Wayas 2023,Association of Perceived Neighbourhood Walkability with Self-Reported Physical Activity and Body Mass Index in South African Adolescents,13-18,All,organized PA,self-report,Walking Amenities,self-report,2,0,0,
Wayas 2023,Association of Perceived Neighbourhood Walkability with Self-Reported Physical Activity and Body Mass Index in South African Adolescents,13-18,All,organized PA,self-report,Aesthetics,self-report,2,0,0,
Wayas 2023,Association of Perceived Neighbourhood Walkability with Self-Reported Physical Activity and Body Mass Index in South African Adolescents,13-18,All,organized PA,self-report,Crime safety,self-report,2,0,0,
Wayas 2023,Association of Perceived Neighbourhood Walkability with Self-Reported Physical Activity and Body Mass Index in South African Adolescents,13-18,All,organized PA,self-report,Traffic Safety,self-report,2,0,0,
Wayas 2023,Association of Perceived Neighbourhood Walkability with Self-Reported Physical Activity and Body Mass Index in South African Adolescents,13-18,All,organized PA,self-report,Walkability Index,self-report,2,0,0,
Xu 2017,Mothers' perceived neighbourhood environment and outdoor play of 2-to 3.5-year-old children: Findings from the healthy beginnings trial,2,All,outdoor play,parent-report,Safety,parent-report,8,4,0,
Xu 2017,Mothers' perceived neighbourhood environment and outdoor play of 2-to 3.5-year-old children: Findings from the healthy beginnings trial,2,All,outdoor play,parent-report,Traffic Safety,parent-report,4,1,0,
Xu 2017,Mothers' perceived neighbourhood environment and outdoor play of 2-to 3.5-year-old children: Findings from the healthy beginnings trial,2,All,outdoor play,parent-report,Recreation density,parent-report,4,3,0,
Xu 2017,Mothers' perceived neighbourhood environment and outdoor play of 2-to 3.5-year-old children: Findings from the healthy beginnings trial,2,All,outdoor play,parent-report,Walkability Index,GIS,4,0,0,
Xu 2017,Mothers' perceived neighbourhood environment and outdoor play of 2-to 3.5-year-old children: Findings from the healthy beginnings trial,2,All,outdoor play,parent-report,Residential density,GIS,4,0,0,
Xu 2017,Mothers' perceived neighbourhood environment and outdoor play of 2-to 3.5-year-old children: Findings from the healthy beginnings trial,3.5,All,outdoor play,parent-report,Safety,parent-report,8,2,0,
Xu 2017,Mothers' perceived neighbourhood environment and outdoor play of 2-to 3.5-year-old children: Findings from the healthy beginnings trial,3.5,All,outdoor play,parent-report,Traffic Safety,parent-report,4,0,0,
Xu 2017,Mothers' perceived neighbourhood environment and outdoor play of 2-to 3.5-year-old children: Findings from the healthy beginnings trial,3.5,All,outdoor play,parent-report,Recreation density,parent-report,4,0,0,
Xu 2017,Mothers' perceived neighbourhood environment and outdoor play of 2-to 3.5-year-old children: Findings from the healthy beginnings trial,3.5,All,outdoor play,parent-report,Walkability Index,GIS,4,0,0,
Xu 2017,Mothers' perceived neighbourhood environment and outdoor play of 2-to 3.5-year-old children: Findings from the healthy beginnings trial,3.5,All,outdoor play,parent-report,Residential density,GIS,4,0,0,
