Key,Short Name,Publication Year,Author,Title,Publication Title,Date,Study,Measure(s) of Walkability,ATS?,PA Type,MVPA?,Other PA,Other transport,Measure of PA,Ages,Sample Size,Country,Finding,Other Notes,Effect on ATS,Effect on PA,Consensus,Include?,Reason,
RBFVPZYW,McGrath 2016,2016,"McGrath, Leslie J.; Hinckson, Erica A.; Hopkins, Will G.; Mavoa, Suzanne; Witten, Karen; Schofield, Grant",Associations between the neighborhood environment and moderate-to-vigorous walking in new zealand children: Findings from the URBAN study,SPORTS MEDICINE,2016-07,URBAN (Understanding the Relationship between Activity and Neighborhoods),Stratified walkability by Frank including retail; SPACES audit,step count (accelerometer),MVPA; LPA,accelerometer,LPA (accelerometer),step count (accelerometer),,9.3 (2.1),227,New Zealand,"Upper titile walkability associated with fewer afterschool steps than lower tertile, while weekend and holiday steps higher for middle tertile than lower tertile. MVPA on school commute lower for middle tertile than lower tertive. After school MVPA siginficantly higher for lower tertile walkability than upper tertile. For the SPACES audit, children in neighborhoods in the upper tertile of pedestrian safety ad less MVPA overall, and lower step counts after school and on non-school days. Roads in the upper tertile of attractiveness had highest step count during non-school hours.",,Negative,Negative,Negative,yes,,
75S8QTFF,Merchant 2007,2007,"Merchant, Anwar T.; Dehghan, Mahshid; Behnke-Cook, Deanna; Anand, Sonia S.","Diet, physical activity, and adiposity in children in poor and rich neighbourhoods: a cross-sectional comparison",NUTRITION JOURNAL,2007,,NEWS,,,,self-report total PA,,,9.0 (2.1),160,Canada,,,,,,No,No relationship between walkability and PA,
KRNKGLB2,Millstein 2011,2011,"Millstein, Rachel A.; Strobel, Joe; Kerr, Jacqueline; Sallis, James F.; Norman, Gregory J.; Durant, Nefertiti; Harris, Sion; Saelens, Brian E.","Home, school, and neighborhood environment factors and youth physical activity",Pediatric Exercise Science,2011-11,,NEWS-Y,No,other PA,,Total PA (self report); Total PA (parent report),,Total PA (self-report); Total PA (parent-report),18-May,241,USA,"For younger children, street connectivity was significantly and positively associated with Pa. ",,-,Positive,Positive,yes,Does not include MVPA,
JVTURQJL,Wang 2022,2022,"Wang, Xiaoge; Liu, Ye; Zhu, Chunwu; Yao, Yao; Helbich, Marco","Associations between the streetscape built environment and walking to school among primary schoolchildren in Beijing, China",JOURNAL OF TRANSPORT GEOGRAPHY,2022-02,Fourth Beijing Official Household Travel Survey,Novel indicator (CV),self report,,,,,,9.04 (1.83),1758,China,Walkability lowered odds of ATS. Street safety facility also were associated with lower odds of walking to school.,,-,-,Negative,No,ATS only,
B4VQN2Q5,Molina-García 2017,2017,"Molina-García, Javier; Queralt, Ana; Adams, Marc A.; Conway, Terry L.; Sallis, James F.",Neighborhood built environment and socio-economic status in relation to multiple health outcomes in adolescents,Preventive Medicine,2017-12,IPEN,Frank excluding retail,self report,MVPA; other PA; organized PA,accelerometer,,,MVPA (accelerometer); ATS (self report),14-18,325,Spain,"High-SES, high-walkability neighborhoods had the greatest MVPA. Active commuting was more frequent in lower-walkable, higher-SES neighborhoods.",,Negative,Positive,Mixed,yes,,
47G54WYY,Nakabazzi 2021,2021,"Nakabazzi, B.; Wachira, LM.; Oyeyemi, AL.; Ssenyonga, R.; Onywera, VO.",Parental-perceived home and neighborhood environmental correlates of accelerometer-measured physical activity among school-going children in Uganda,PLOS Glob Public Health,2021,,Adapted from Neighborhood Impact on Kids and NEWS-Africa (parent report),,,accelerometer,,,,12-Oct,256,Uganda,"Higher residential density and lower crime safety were related to children being more likely to meet MVPA guidelines. Generally, few and inconsistent associations of home and neighborhood environments on children's MVPA",,-,Mixed,Mixed,yes,,
G5QUAA8H,Hermosillo-Gallardo 2020,2020,"Hermosillo-Gallardo, Maria E.; Sebire, Simon J.; Jago, Russell",Perception of safety and its association with physical activity in adolescents in mexico,AMERICAN JOURNAL OF PREVENTIVE MEDICINE,2020-05,,NEWS-Y,self report,,self report,"sports (self report), leisure-time PA (self report), PE class (self report)",,,15-18,4079,Mexico,Low perception of pedestrian safety was associated with lowere MVPA and sports activity for female adolescents. No association for male adolescents.,,?,Mixed ,Mixed ,No,Not walkability,
VHLQZCMQ,Dias 2022,2022,"Dias, Arieli Fernandes; Fochesatto, Camila Felin; Crochemore-Silva, Inacio; Brand, Caroline; Mota, Jorge; Gaya, Anelise Reis; Gaya, Adroaldo Cezar Araujo","Team sports, running, walking: activity-specific associations with perceived environmental factors in adolescents",CIENCIA & SAUDE COLETIVA,2022-05,,NEWS-Y,,,,"running (self report), general PA (self report); sports (self report)",Walking (self report),,14-20,1130,Brazil,"Walkability was not associated with walking behavior or running behavior. Safe street crossing was associated with sports participation, but no other walkability measures were. Walkability was not associated with general PA",,-,Neutral,Neutral,No,"LCA, not direct associations",
YXKCRDLK,Nathan 2023,2023,"Nathan, Andrea; Schipperijn, Jasper; Robinson, Trina; George, Phoebe; Boruff, Bryan; Trost, Stewart G.; Christian, Hayley",The moderating role of parent perceptions in relationships between objectively measured neighbourhood environment attributes and pre-schooler's physical activity: Findings from the PLAYCE study,Health & Place,2023-05,PLAYCE,NEWS-Y,No,Total PA; energetic play,energetic play (accelerometer),Total PA (accelerometer),,Total PA (accelerometer); energetic play (accelerometer),5-Jan,1038,Australia,Neighborhood parks only associated with energetic play when parents had above average perception of accessibility. Objectively measured street connectivity was associated with less energetic play when pedestrian and traffic safety was perceived to be below average. ,,-,Mixed,Mixed,yes,,
49XHQY2H,Norman 2006,2006,"Norman, Gregory J.; Nutter, Sandra K.; Ryan, Sherry; Sallis, James F.; Calfas, Karen J.; Patrick, Kevin",Community Design and Access to Recreational Facilities as Correlates of Adolescent Physical Activity and Body-Mass Index,Journal of Physical Activity & Health,2006-02,,Frank including retail,No,MVPA,accelerometer,,,MVPA (accelerometer),15-Nov,799,USA,"Girls, MVPA significantly positive with recreation facilities and number of parks. Girls, MVPA significantly negative with intersection density. Boys, MVPA significantly positive with retail floor area. ",,-,Mixed,Mixed,yes,,
WUQLYXXL,Hino 2021,2021,"Hino, Kimihiro; Ikeda, Erika; Sadahiro, Saiko; Inoue, Shigeru","Associations of neighborhood built, safety, and social environment with walking to and from school among elementary school-aged children in Chiba, Japan",INTERNATIONAL JOURNAL OF BEHAVIORAL NUTRITION AND PHYSICAL ACTIVITY,11/27/21,,NEWS-Y; NEWS-A,parent report,,,,,,12-Jun,1545,Japan,"For walkability scale, only crime safety was associated with increased odds of walking to school. Traffic safety was associated with walking home from school.",,Mixed,-,Mixed,No,ATS only,
SXX5XKNM,Perez 2017,2017,"Perez, L. G.; Conway, T. L.; Arredondo, E. M.; Elder, J. P.; Kerr, J.; McKenzie, T. L.; Sallis, J. F.",Where and when adolescents are physically active: Neighborhood environment and psychosocial correlates and their interactions,PREVENTIVE MEDICINE,2017-12,,Frank including retail; parent-perceived walkability,,MVPA; location-based PA,accelerometer,neighborhood lesiure-time PA (self report); non-neighborhood leisure-time PA (self report),,,16-Dec,910,USA,"GIS-based walkability index was not associated with any PA outcome. Parental-perceived walkability was not associated with any PA outcome. Only the interaction between walkability and decisional balance was associated with increased non-school MVPA in girls, and non-neighborhood LTPA in boys. ",,-,Mixed,Mixed,yes,,
I9T5TGT5,Yu 2015,2015,"Yu, Chia-Yuan; Zhu, Xuemei",Impacts of residential self-selection and built environments on children's walking-to-school behaviors,ENVIRONMENT AND BEHAVIOR,2015-04,,Perceived walkability (parent),parent report,,,,,,Elementary school,2597,USA,"Self-selection of walkable neighborhood was significant, but not parent's perceived walkability",,Neutral,-,Neutral,No,ATS only,
IRM44588,Pitts 2013,2013,"Pitts, Stephanie B. Jilcott; Carr, Lucas J.; Brinkley, Jason; Byrd, James Langford, III; Crawford, Thomas; Moore, Justin B.",Associations between neighborhood amenity density and health indicators among rural and urban youth,AMERICAN JOURNAL OF HEALTH PROMOTION,2013-10,,Walk Score,,MVPA,accelerometer,,,,12.2 (1.0),296,USA,Walk Score was negatively related to MVPA,,-,Negative,Negative,yes,,
PCJBI6UF,Nelson 2006,2006,"Nelson, Melissa C.; Gordon-Larsen, Penny; Song, Yan; Popkin, Barry M.",Built and social environments - Associations with adolescent overweight and activity,AMERICAN JOURNAL OF PREVENTIVE MEDICINE,2006-08,National Longitudinal Study of Adolescent Health,"Cluster analysis using intersection density, gamma index, cyclomatic index, alpha index",,,self report,,,,Grades 7 - 12,20745,USA,Adolescents in older suburban developments were more likely to engage in 5 or more bouts of MVPA per week than adolescents in new suburban development. No significant relationship for urban or rural.,,-,Mixed,Mixed,No,Cluster analysis. Not a direct association.,
