Key,Short Name,Publication Year,Author,Title,Publication Title,Date,Study,Measure(s) of Walkability,ATS?,PA Type,MVPA?,Other PA,Other transport,Measure of PA,Ages,Sample Size,Country,Finding,Other Notes,Effect on ATS,Effect on PA,Consensus,Include?,Reason,
7E888IND,Huertas-Delgado 2018,2018,"Huertas-Delgado, Francisco Javier; Mertens, Lieze; Chillon, Palma; Van Dyck, Delfien",Parents' and adolescents' perception of traffic- and crime-related safety as correlates of independent mobility among Belgian adolescents,PLoS One,2018-09,BEPAS-child,NEWS-Y (parent and child together),,,,,Independent mobility,,15-Dec,,,,,,,,No,Does not measure PA,
R74FEUEI,Terron-Perez 2024,2024,"Terron-Perez, Marta; Molina-Garcia, Javier; Santaines-Borreda, Elena; Estevan, Isaac; Queralt, Ana",Using the MAPS-global audit tool to assess the influence of microscale built-environment attributes related to physical activity and sedentary behavior in spanish youth,SAFETY,2024-09,IPEN Adolescent Study,MAPS-Global,,MVPA,accelerometer,,"Active communiting in neighborhood, excluding trips to school (self report)",,14-18,465,Spain,"One MAPS global scale had a significant positive relationship with MVPA, but not the overall score. The overall scores had significant positive relationships to active commuting.",,-,Mixed,Mixed,yes,,
3ULRKZM9,Jauregui 2016,2016,"Jauregui, A.; Soltero, E.; Santos-Luna, R.; Hern√°ndez-Barrera, L.; Barquera, S.; J√°uregui, E.; L√©vesque, L.; L√≥pez-Taylor, J.; Ortiz-Hern√°ndez, L.; Lee, R.",A multisite study of environmental correlates of active commuting to school in mexican children,Journal of physical activity & health,2016,,-,,,,,,,,,,,,,,,No,ATS only,
9ISIQ6QW,Kurka 2015,2015,"Kurka, JM.; Adams, MA.; Todd, M.; Colburn, T.; Sallis, JF.; Cain, KL.; Glanz, K.; Frank, LD.; Saelens, BE.",Patterns of neighborhood environment attributes in relation to children's physical activity,Health & place,2015,Neighborhood Impact on Kids Study,NEWS; NEWS-Y; ,,,accelerometer,,,,12-Jun,678,USA,Out-of-school MVPA was significantly lower for low walkable unsafe neighborhoods,,,Positive,,No,"LCA, not direct associations",
S5AT4LSD,Larouche 2024,2024,"Larouche, R.; B√©langer, M.; Brussoni, M.; Faulkner, G.; Gunnell, K.; Tremblay, MS.",Correlates of active school transportation during the COVID-19 pandemic among canadian 7- to 12-year-olds: a national study,Journal of physical activity & health,2024,,-,,,,,,,,,,,,,,,No,ATS only,
Y948S9JG,Tung 2016,2016,"Tung, S. E. H.; Ng, X. H.; Chin, Y. S.; Taib, M. N. Mohd","Associations between parents' perception of neighbourhood environments and safety with physical activity of primary school children in Klang, Selangor, Malaysia",CHILD CARE HEALTH AND DEVELOPMENT,2016-07,,NEWS-abbreviated (parent),No,other PA,,Total PA (self report),,,12-Sep,250,Malaysia,Parent's perception of accessible land use mix and traffic safety was associated with PA for the child. ,,-,Positive,Positive,yes,Does not include MVPA,
UIY8Q5NH,Liao 2020,2020,"Liao, Bojing; E. W. van den Berg, Pauline; van Wesemael, Pieter J. V.; A. Arentze, Theo",How Does Walkability Change Behavior? A Comparison between Different Age Groups in the Netherlands,International Journal of Environmental Research and Public Health,2020-01,,Novel,,,,Walking frequency,Walking frequency,,,,The Netherlands,,,,,,No,Active travel only,
79N9SB7H,Voorhees 2011,2011,"Voorhees, Carolyn C.; Yan, Alice F.; Clifton, Kelly J.; Wang, Min Qi","Neighborhood environment, self-efficacy, and physical activity in urban adolescents",AMERICAN JOURNAL OF HEALTH BEHAVIOR,2011,Baltimore Active Living Teens Study ,NEWS,self report,,accelerometer,LPA (accelerometer),self report,,high school,350,USA,Land use mix and neighborhood satisfaction were associated with walking. Land use mix was associated with MVPA. ,,Positive,Positive,Positive,yes,,
WVW2R9A3,Mah 2017,2017,"Mah, SK.; Nettlefold, L.; Macdonald, HM.; Winters, M.; Race, D.; Voss, C.; McKay, HA.",Does parental support influence children's active school travel?,Preventive medicine reports,2017,,-,,,,,,,,,,,,,,,No,ATS only,
E5SA28UD,Wayas 2023,2023,"Wayas, Feyisayo A.; Smith, Joanne A.; Lambert, Estelle V.; Guthrie-Dixon, Natalie; Wasnyo, Yves; West, Sacha; Oni, Tolu; Foley, Louise",Association of Perceived Neighbourhood Walkability with Self-Reported Physical Activity and Body Mass Index in South African Adolescents,International Journal of Environmental Research and Public Health,1/30/23,,NEWS-Africa,No,MVPA; organized sports; other PA,self report,,active transport (self report),MVPA (self report); active transport (self report),13-18,143,South Africa,Inconsisttent findings,,-,Mixed,Mixed,yes,,
LVGKIDCI,Mitáš 2018,2018,"Mitáš, J.; Sas-Nowosielski, K.; Groffik, D.; Frömel, K.",The safety of the neighborhood environment and physical activity in czech and polish adolescents,International journal of environmental research and public health,2018,,NEWS-A,,,Pedometer,"Total PA; MPA, VPA",,,,2001,Poland; Czech Republic,Significant association between environmental safety and total PA and lesiure-time vigorous PA. Total PA was negatively associated with environmental safety. Vigorous PA. Leisure-time total PA was higher for girls living in higher environmental safety neighborhoods. ,,,Mixed,,No,Not walkability,
38D7FM7D,Panter 2010,2010,"Panter, JR.; Jones, AP.; van, EM., Sluijs; Griffin, SJ.","Attitudes, social support and environmental perceptions as predictors of active commuting behaviour in school children",Journal of epidemiology and community health,2010,,-,,,,,,,,,,,,,,,No,Active travel only,
4ZLK9JD5,Roberts 2016,2016,"Roberts, JD.; Knight, B.; Ray, R.; Saelens, BE.",Parental perceived built environment measures and active play in Washington DC metropolitan children,Preventive medicine reports,2016,Built Environment and Active Play,Parent's perception,,,,Parent-reported active play,,,12-Jul,144,USA,Many significant associations between perceived BE and children. Not really a clear finding on walkability though,,,,,No,Not walkability,
EQG993S6,Xu 2017,2017,"Xu, Huilan; Wen, Li Ming; Hardy, Louise L.; Rissel, Chris",Mothers' perceived neighbourhood environment and outdoor play of 2-to 3.5-year-old children: Findings from the healthy beginnings trial,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,2017-09,Healthy Beginnings Trial,Walk Score (dichotomized),,other PA,,Outdoor playtime (mother report),,,2-3.5,497 and 415?,Australia,"Walk Score was not associated with odds of outdoor playtime, but perceived safe outdoor play was",,-,Neutral,Neutral,yes,Does not include MVPA,
HTWDW8ZU,Salvy 2017,2017,"Salvy, SJ.; Feda, DM.; Epstein, LH.; Roemmich, JN.",The social context moderates the relationship between neighborhood safety and adolescents' activities,Preventive medicine reports,2017,,NEWS,,,,accelerometry measured total PA,,,13-17,80,,"Neighborhood safety was negatively associated with PA alone, but positively associated with PA when interacted by time with peers",,,Mixed,,No,Not walkability,
LEUEMZUQ,Silva 2018,2018,"Silva, AAPD.; Fermino, RC.; Souza, CA.; Lima, AV.; Rodriguez-A√±ez, CR.; Reis, RS.",Socioeconomic status moderates the association between perceived environment and active commuting to school,Revista de saúde pública,2018,,-,,,,,,,,,,,,,,,No,Active travel only,
VDSIMFUX,Van 2010,2010,"Van, D., Dyck; De, I., Bourdeaudhuij; Cardon, G.; Deforche, B.",Criterion distances and correlates of active transportation to school in Belgian older adolescents,The international journal of behavioral nutrition and physical activity,2010,,NEWS,,other PA; ,,self-reported PA,,,17-18,1281,Belgium,,,,,,No,No relationship between walkability and PA,
